bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
Math_93, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Math_44, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Mockito_36, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_7, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Closure_128, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_105, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Math_66, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 12, 12
Math_31, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
Closure_40, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_25, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
Math_16, NO_DATA, NONE, NONE, NONE, NONE, 11, 7
Math_12, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 2
Math_89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_38, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Mockito_16, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Closure_162, NO_DATA, NONE, NONE, NONE, NONE, 13, 9
Lang_28, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_53, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_79, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_151, MIXED_DIVISIBLE_BUG, 1, 1, /3/, /3/, 3, 3
Closure_27, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Closure_103, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
Lang_36, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Time_9, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 6, 6
Math_95, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_37, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Lang_55, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Chart_2, MIXED_DIVISIBLE_BUG, 4, 2, /2/2/, /2/2/, 8, 8
Closure_68, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Closure_136, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 4, 3
Math_52, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Chart_19, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_72, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_154, VALID_DIVISIBLE_BUG, 0, 1, /4/, /3/, 7, 6
Math_77, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Math_55, INDIVISIBLE, 0, 0, 5, 1, 5, 1
Math_90, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Closure_64, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Math_21, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 6, 6
Math_78, INDIVISIBLE, 0, 0, 3, 1, 3, 1
Mockito_30, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_66, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Closure_89, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Mockito_35, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
Math_64, NO_DATA, NONE, NONE, NONE, NONE, 13, 10
Math_97, NO_DATA, NONE, NONE, NONE, NONE, 5, 3
Closure_135, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 3, 3
Closure_163, NO_DATA, NONE, NONE, NONE, NONE, 51, 40
Lang_17, NO_DATA, NONE, NONE, NONE, NONE, 6, 6
Mockito_23, NO_DATA, NONE, NONE, NONE, NONE, 8, 6
Time_6, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 3, 3
Closure_142, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Math_67, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Time_8, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
Math_40, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_19, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Closure_90, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_71, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_74, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_29, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_87, INDIVISIBLE, 0, 0, 4, 1, 4, 1
Math_22, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Time_17, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 5, 2
Closure_138, VALID_DIVISIBLE_BUG, 0, 2, /2/6/, /2/3/, 7, 4
Math_17, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_141, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/1/, 5, 4
Closure_108, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 4, 4
Mockito_15, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Time_14, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Time_1, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Time_13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Lang_14, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_24, INDIVISIBLE, 0, 0, 4, 3, 4, 3
Math_28, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/, /1/1/2/, 4, 3
Closure_3, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Mockito_21, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Closure_17, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Lang_12, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Lang_31, INDIVISIBLE, 0, 0, 4, 3, 4, 3
Math_14, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Time_20, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_58, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_19, MIXED_DIVISIBLE_BUG, 3, 1, /3/, /2/, 5, 4
Lang_32, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Chart_7, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_39, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Chart_5, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_139, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 9, 3
Closure_47, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
Closure_26, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Math_18, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 5, 5
Math_60, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_6, NO_DATA, NONE, NONE, NONE, NONE, 17, 17
Math_49, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 4, 4
Mockito_17, INDIVISIBLE, 0, 0, 6, 6, 6, 6
Closure_137, NO_DATA, NONE, NONE, NONE, NONE, 30, 17
Closure_80, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Mockito_12, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Time_3, VALID_DIVISIBLE_BUG, 0, 5, /2/2/2/2/2/, /2/2/2/2/2/, 20, 20
Closure_42, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Mockito_10, INDIVISIBLE, 0, 0, 7, 7, 7, 7
Closure_173, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Closure_158, NO_DATA, NONE, NONE, NONE, NONE, 26, 15
Math_13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_115, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_6, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Closure_8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_170, INDIVISIBLE, 0, 0, 5, 3, 5, 3
Closure_23, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_68, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 9, 8
Closure_16, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Math_65, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Lang_47, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Math_47, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Closure_30, MIXED_DIVISIBLE_BUG, 1, 1, /5/, /5/, 6, 6
Lang_48, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_78, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_176, VALID_DIVISIBLE_BUG, 0, 1, /4/, /2/, 5, 3
Math_79, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Time_18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_44, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Math_87, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_106, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Math_54, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_155, NO_DATA, NONE, NONE, NONE, NONE, 15, 9
Lang_18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_145, INDIVISIBLE, 0, 0, 4, 2, 4, 2
Lang_34, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_117, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Closure_164, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 2
Closure_102, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Math_76, NO_DATA, NONE, NONE, NONE, NONE, 12, 12
Closure_48, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Time_7, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_53, VALID_DIVISIBLE_BUG, 0, 3, /2/2/2/, /2/2/2/, 4, 4
Mockito_2, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Math_36, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/1/, 4, 2
Lang_3, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 4, 4
Lang_46, INDIVISIBLE, 0, 0, 9, 9, 9, 9
Math_92, NO_DATA, NONE, NONE, NONE, NONE, 12, 3
Closure_153, NO_DATA, NONE, NONE, NONE, NONE, 19, 17
Closure_156, NO_DATA, NONE, NONE, NONE, NONE, 12, 11
Closure_160, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Chart_18, MIXED_DIVISIBLE_BUG, 1, 2, /2/3/, /2/3/, 6, 6
Lang_15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_148, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 65, 36
Closure_175, VALID_DIVISIBLE_BUG, 0, 1, /6/, /5/, 7, 6
Chart_25, MIXED_DIVISIBLE_BUG, 2, 2, /2/2/, /2/2/, 6, 6
Closure_157, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 17, 12
Time_23, VALID_DIVISIBLE_BUG, 0, 1, /4/, /4/, 8, 8
Closure_43, INDIVISIBLE, 0, 0, 4, 4, 4, 4
Closure_49, NO_DATA, NONE, NONE, NONE, NONE, 8, 4
Mockito_9, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Lang_65, VALID_DIVISIBLE_BUG, 0, 3, /6/7/8/, /3/3/3/, 8, 3
Lang_42, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Mockito_31, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_2, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Mockito_4, INVALID_DIVISIBLE_BUG, 3, 0, /, /, 3, 3
Lang_63, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Mockito_14, INDIVISIBLE, 0, 0, 5, 5, 5, 5
Closure_7, INDIVISIBLE, 0, 0, 3, 1, 3, 1
Closure_167, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 8, 8
Closure_94, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
Time_22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Lang_35, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_169, NO_DATA, NONE, NONE, NONE, NONE, 32, 30
Closure_88, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Time_10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_99, MIXED_DIVISIBLE_BUG, 1, 1, /3/, /3/, 4, 4
Closure_54, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 5, 4
Mockito_19, NO_DATA, NONE, NONE, NONE, NONE, 11, 11
Chart_15, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_95, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Math_83, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Math_4, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Lang_1, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Closure_13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Lang_37, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Math_84, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Math_15, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_131, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Closure_32, INDIVISIBLE, 0, 0, 6, 5, 6, 5
Math_23, VALID_DIVISIBLE_BUG, 0, 1, /3/, /3/, 5, 5
Math_51, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Math_102, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Lang_22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
Math_3, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Math_1, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_76, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 11, 10
Lang_50, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /2/2/, 6, 6
Math_8, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Mockito_25, NO_DATA, NONE, NONE, NONE, NONE, 10, 6
Closure_140, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Closure_50, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
Closure_51, INDIVISIBLE, 0, 0, 3, 2, 3, 2
Math_46, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_42, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Closure_134, VALID_DIVISIBLE_BUG, 0, 2, /2/5/, /1/5/, 9, 8
Closure_9, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Time_27, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_60, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Mockito_32, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Mockito_6, INVALID_DIVISIBLE_BUG, 13, 0, /, /, 20, 20
Mockito_3, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Mockito_37, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_88, INDIVISIBLE, 0, 0, 4, 3, 4, 3
Math_86, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
Time_12, VALID_DIVISIBLE_BUG, 0, 4, /2/2/4/4/, /2/2/3/3/, 8, 6
Math_61, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Closure_172, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Chart_21, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 4
Mockito_20, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Chart_22, MIXED_DIVISIBLE_BUG, 3, 1, /2/, /2/, 7, 5
Lang_60, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Math_26, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_75, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
Chart_16, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Math_106, VALID_DIVISIBLE_BUG, 0, 2, /2/2/, /1/1/, 4, 2
Lang_64, INDIVISIBLE, 0, 0, 5, 2, 5, 2
Math_72, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Mockito_33, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Lang_8, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Closure_116, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Math_25, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Math_99, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
Closure_143, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
STATSTICS, No_data=23, Divisible=139, Indivisible=118, Isolated=105, Single_divided=144, Hunks_total=1339, Hunks_total_ci=1114
