bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk
29, INDIVISIBLE, 0, 0, 3, 3, 3, 3
30, MIXED_DIVISIBLE_BUG, 1, 1, /5/, /5/, 6, 6
78, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
176, VALID_DIVISIBLE_BUG, 0, 1, /4/, /2/, 5, 3
44, INDIVISIBLE, 0, 0, 2, 1, 2, 1
106, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
155, NO_DATA, NONE, NONE, NONE, NONE, 15, 9
145, INDIVISIBLE, 0, 0, 4, 2, 4, 2
117, INDIVISIBLE, 0, 0, 3, 2, 3, 2
164, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 4, 2
102, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
48, INDIVISIBLE, 0, 0, 2, 1, 2, 1
153, NO_DATA, NONE, NONE, NONE, NONE, 19, 17
156, NO_DATA, NONE, NONE, NONE, NONE, 12, 11
160, INDIVISIBLE, 0, 0, 3, 3, 3, 3
148, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 65, 36
175, VALID_DIVISIBLE_BUG, 0, 1, /6/, /5/, 7, 6
157, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 17, 12
43, INDIVISIBLE, 0, 0, 4, 4, 4, 4
49, NO_DATA, NONE, NONE, NONE, NONE, 8, 4
7, INDIVISIBLE, 0, 0, 3, 1, 3, 1
167, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 8, 8
94, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 3, 3
169, NO_DATA, NONE, NONE, NONE, NONE, 32, 30
88, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
99, MIXED_DIVISIBLE_BUG, 1, 1, /3/, /3/, 4, 4
54, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 5, 4
95, INDIVISIBLE, 0, 0, 2, 1, 2, 1
13, INDIVISIBLE, 0, 0, 2, 2, 2, 2
131, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
32, INDIVISIBLE, 0, 0, 6, 5, 6, 5
76, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 11, 10
140, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
50, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /1/, 3, 2
51, INDIVISIBLE, 0, 0, 3, 2, 3, 2
134, VALID_DIVISIBLE_BUG, 0, 2, /2/5/, /1/5/, 9, 8
9, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 2
60, INDIVISIBLE, 0, 0, 3, 3, 3, 3
172, INDIVISIBLE, 0, 0, 2, 2, 2, 2
75, VALID_DIVISIBLE_BUG, 0, 1, /2/, /1/, 3, 2
116, INDIVISIBLE, 0, 0, 2, 2, 2, 2
143, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 2, 2
STATSTICS, No_data=13, Divisible=52, Indivisible=48, Isolated=41, Single_divided=38, Hunks_total=664, Hunks_total_ci=518
